0,0,0,145.0004
0.0005,0.0437,4.2227,145.0028
0.0015,0.1052,6.3356,145.0093
0.0033,0.1757,6.9624,145.0214
0.0057,0.2492,7.4161,145.0395
0.009,0.3211,7.1293,145.0637
0.0129,0.3947,7.3941,145.094
0.0176,0.4666,7.1544,145.1304
0.023,0.5402,7.3904,145.1728
0.029,0.6125,7.3012,145.2209
0.0358,0.684,7.1748,145.2751
0.0434,0.757,7.274,145.3359
0.0517,0.8307,7.4041,145.4028
0.0607,0.9028,7.206,145.4758
0.0705,0.9762,7.3027,145.5554
0.081,1.0503,7.4258,145.6411
0.0923,1.1227,7.2365,145.7331
0.1043,1.1962,7.3337,145.8317
0.1169,1.2705,7.4539,145.9365
0.1303,1.3432,7.2701,146.0476
0.1445,1.4169,7.3689,146.1654
0.1594,1.4907,7.3823,146.29
0.1751,1.5648,7.3962,146.4212
0.1914,1.6397,7.5145,146.5589
0.2086,1.7121,7.2349,146.7034
0.2265,1.7875,7.5261,146.8551
0.2451,1.8621,7.4558,147.0137
0.2644,1.9375,7.574,147.1788
0.2846,2.0098,7.1999,147.3512
0.3054,2.0875,7.7804,147.531
0.3271,2.1609,7.3353,147.7179
0.3494,2.2372,7.628,147.9122
0.3725,2.3127,7.5589,148.1135
0.3964,2.3875,7.4775,148.3224
0.421,2.4642,7.6843,148.5388
0.4464,2.5393,7.5158,148.7628
0.4726,2.6156,7.6237,148.9948
0.4995,2.6922,7.6438,149.2349
0.5272,2.7697,7.7628,149.4827
0.5556,2.8456,7.5945,149.7383
0.5848,2.9226,7.7032,150.0019
0.6149,2.999,7.6249,150.2742
0.6457,3.0783,7.9308,150.5548
0.6772,3.1549,7.6723,150.8431
0.7095,3.2317,7.6823,151.1401
0.7426,3.3106,7.889,151.4458
0.7765,3.3879,7.7189,151.7602
0.8112,3.4671,7.9243,152.0834
0.8466,3.5447,7.7522,152.4153
0.8828,3.6242,7.9561,152.7559
0.9199,3.7019,7.7814,153.1052
0.9577,3.7808,7.885,153.4637
0.9963,3.8598,7.8966,153.8312
1.0357,3.9388,7.9065,154.2079
1.0758,4.018,7.9145,154.5936
1.1168,4.0972,7.9205,154.9884
1.1586,4.1755,7.8267,155.3925
1.2011,4.2565,8.1149,155.8055
1.2445,4.333,7.6384,156.2277
1.2886,4.4149,8.2003,156.6591
1.3335,4.4913,7.6272,157.0996
1.3793,4.5721,8.0843,157.5494
1.4257,4.6509,7.8873,158.0076
1.473,4.7277,7.6761,158.4748
1.5211,4.808,8.0289,158.951
1.5699,4.8852,7.7236,159.4355
1.6195,4.963,7.7835,159.9286
1.67,5.0396,7.6524,160.4304
1.7212,5.1185,7.8917,160.9403
1.7731,5.1941,7.5691,161.4575
1.8258,5.2693,7.5137,161.9827
1.8793,5.3457,7.6397,162.5156
1.9335,5.4206,7.4864,163.0554
1.9884,5.4947,7.4168,163.6017
2.0441,5.5673,7.2495,164.1547
2.1004,5.6416,7.4389,164.7134
2.1576,5.7115,6.9931,165.2775
2.2154,5.7823,7.0748,165.8473
2.2739,5.8538,7.1522,166.4215
2.3331,5.9207,6.6964,166.9998
2.393,5.9892,6.8429,167.5818
2.4536,6.0548,6.5535,168.1672
2.5148,6.1216,6.684,168.7548
2.5767,6.1838,6.2195,169.3443
2.6391,6.2479,6.4164,169.9349
2.7022,6.3074,5.9502,170.526
2.7659,6.3687,6.1295,171.1171
2.8302,6.4254,5.6642,171.7074
2.895,6.4836,5.8263,172.2964
2.9604,6.5381,5.4407,172.8829
3.0263,6.5924,5.4357,173.4662
3.0927,6.6437,5.1286,174.0458
3.1597,6.6948,5.1147,174.6209
3.2271,6.743,4.8111,175.1908
3.295,6.7915,4.8586,175.7545
3.3634,6.8358,4.424,176.3113
3.4322,6.8804,4.4655,176.8608
3.5014,6.9235,4.3033,177.4017
3.571,6.9636,4.0188,177.9334
3.6411,7.0029,3.9271,178.4554
3.7115,7.0412,3.8322,178.9668
3.7822,7.0774,3.6221,179.4667
3.8534,7.1117,3.4213,179.9547
3.9248,7.146,3.4391,-179.57
3.9966,7.177,3.0897,-179.1081
4.0687,7.2085,3.1565,-178.6601
4.141,7.2373,2.877,-178.2269
4.2137,7.2653,2.799,-177.8088
4.2867,7.2925,2.7184,-177.4065
4.3598,7.318,2.555,-177.0209
4.4332,7.3424,2.441,-176.6522
4.5069,7.3654,2.2956,-176.301
4.5808,7.388,2.2629,-175.9676
4.6549,7.4096,2.1562,-175.6528
4.7292,7.4295,1.9948,-175.357
4.8037,7.4489,1.9343,-175.0806
4.8783,7.4675,1.8699,-174.8241
4.9531,7.4849,1.7324,-174.5878
5.0282,7.5016,1.6763,-174.372
5.1034,7.5178,1.6154,-174.1773
5.1787,7.5331,1.5333,-174.0041
5.2542,7.5471,1.3974,-173.8526
5.3298,7.5613,1.4162,-173.7231
5.4055,7.5742,1.2911,-173.6161
5.4814,7.5866,1.239,-173.5318
5.5573,7.5983,1.1756,-173.4705
5.6334,7.6095,1.1146,-173.4326
5.7097,7.62,1.0557,-173.4183
5.786,7.63,0.9979,-173.4278
5.8623,7.6394,0.9441,-173.4615
5.9389,7.6484,0.8926,-173.5196
6.0154,7.6567,0.8352,-173.6024
6.0921,7.6646,0.7919,-173.71
6.1688,7.6722,0.7595,-173.8427
6.2455,7.6791,0.6818,-174.0006
6.3224,7.686,0.6969,-174.1839
6.3993,7.6922,0.6193,-174.3929
6.4759,7.659,-3.3252,-174.6271
6.5515,7.5525,-10.6404,-174.8845
6.6259,7.4478,-10.4755,-175.163
6.6994,7.3459,-10.178,-175.4617
