0,0,10,0,0,10
0.0003,0.0312,10,0.0003,0.0312,10
0.001,0.0768,10,0.001,0.0768,10
0.0023,0.1257,10,0.0023,0.1257,10
0.0041,0.1757,10,0.0041,0.1757,10
0.0063,0.2254,10,0.0063,0.2254,10
0.0091,0.2754,10,0.0091,0.2754,10
0.0123,0.3253,10,0.0123,0.3253,10
0.0161,0.3755,10,0.0161,0.3755,10
0.0203,0.4254,10,0.0203,0.4254,10
0.0251,0.4752,10,0.0251,0.4752,10
0.0303,0.5253,10,0.0303,0.5253,10
0.0361,0.5753,10,0.0361,0.5753,10
0.0423,0.6252,10,0.0423,0.6252,10
0.0491,0.6752,10,0.0491,0.6752,10
0.0563,0.7251,10,0.0563,0.7251,10
0.0641,0.7751,10,0.0641,0.7751,10
0.0723,0.8252,10,0.0723,0.8252,10
0.0811,0.8752,10,0.0811,0.8752,10
0.0903,0.9251,10,0.0903,0.9251,10
0.1001,0.9751,10,0.1001,0.9751,10
0.1103,1.0251,10,0.1103,1.0251,10
0.121,1.075,10,0.121,1.075,10
0.1323,1.1251,10,0.1323,1.1251,10
0.1441,1.1751,10,0.1441,1.1751,10
0.1563,1.2252,10,0.1563,1.2252,10
0.1691,1.2751,10,0.1691,1.2751,10
0.1823,1.3251,10,0.1823,1.3251,10
0.1961,1.3751,10,0.1961,1.3751,10
0.2103,1.4251,10,0.2103,1.4251,10
0.2251,1.4751,10,0.2251,1.4751,10
0.2403,1.5251,10,0.2403,1.5251,10
0.2561,1.5751,10,0.2561,1.5751,10
0.2723,1.6251,10,0.2723,1.6251,10
0.2891,1.6751,10,0.2891,1.6751,10
0.3063,1.725,10,0.3063,1.725,10
0.3241,1.775,10,0.3241,1.775,10
0.3423,1.8251,10,0.3423,1.8251,10
0.3611,1.875,10,0.3611,1.875,10
0.3803,1.925,10,0.3803,1.925,10
0.4001,1.9751,10,0.4001,1.9751,10
0.4203,2.0251,10,0.4203,2.0251,10
0.4411,2.0751,10,0.4411,2.0751,10
0.4623,2.1251,10,0.4623,2.1251,10
0.4841,2.1751,10,0.4841,2.1751,10
0.5063,2.2251,10,0.5063,2.2251,10
0.5291,2.2751,10,0.5291,2.2751,10
0.5523,2.325,10,0.5523,2.325,10
0.576,2.375,10,0.576,2.375,10
0.6003,2.425,10,0.6003,2.425,10
0.6251,2.475,10,0.6251,2.475,10
0.6503,2.525,10,0.6503,2.525,10
0.6761,2.575,10,0.6761,2.575,10
0.7023,2.625,10,0.7023,2.625,10
0.7291,2.675,10,0.7291,2.675,10
0.7563,2.725,10,0.7563,2.725,10
0.7841,2.7751,10,0.7841,2.7751,10
0.8123,2.825,10,0.8123,2.825,10
0.841,2.875,10,0.841,2.875,10
0.8703,2.925,10,0.8703,2.925,10
0.9001,2.975,10,0.9001,2.975,10
0.9303,3.0251,10,0.9303,3.0251,10
0.9611,3.0751,10,0.9611,3.0751,10
0.9923,3.125,10,0.9923,3.125,10
1.0241,3.175,10,1.0241,3.175,10
1.0563,3.225,10,1.0563,3.225,10
1.0891,3.275,10,1.0891,3.275,10
1.1223,3.325,10,1.1223,3.325,10
1.1561,3.3751,10,1.1561,3.3751,10
1.1903,3.425,10,1.1903,3.425,10
1.2251,3.475,10,1.2251,3.475,10
1.2603,3.525,10,1.2603,3.525,10
1.2961,3.575,10,1.2961,3.575,10
1.3323,3.625,10,1.3323,3.625,10
1.3691,3.675,10,1.3691,3.675,10
1.4063,3.725,10,1.4063,3.725,10
1.4441,3.775,10,1.4441,3.775,10
1.4823,3.825,10,1.4823,3.825,10
1.5211,3.875,10,1.5211,3.875,10
1.5603,3.925,10,1.5603,3.925,10
1.6001,3.975,10,1.6001,3.975,10
1.6403,4.025,10,1.6403,4.025,10
1.6811,4.075,10,1.6811,4.075,10
1.7223,4.125,10,1.7223,4.125,10
1.7641,4.175,10,1.7641,4.175,10
1.8063,4.225,10,1.8063,4.225,10
1.8491,4.275,10,1.8491,4.275,10
1.8923,4.325,10,1.8923,4.325,10
1.9361,4.375,10,1.9361,4.375,10
1.9803,4.425,10,1.9803,4.425,10
2.0251,4.475,10,2.0251,4.475,10
2.0703,4.525,10,2.0703,4.525,10
2.1161,4.575,10,2.1161,4.575,10
2.1623,4.625,10,2.1623,4.625,10
2.2091,4.675,10,2.2091,4.675,10
2.2563,4.725,10,2.2563,4.725,10
2.3036,4.7298,10,2.3036,4.7298,10
2.3504,4.68,10,2.3504,4.68,10
2.3967,4.63,10,2.3967,4.63,10
2.4425,4.5799,10,2.4425,4.5799,10
2.4878,4.5299,10,2.4878,4.5299,10
2.5326,4.48,10,2.5326,4.48,10
2.5769,4.43,10,2.5769,4.43,10
2.6207,4.38,10,2.6207,4.38,10
2.664,4.3299,10,2.664,4.3299,10
2.7068,4.2799,10,2.7068,4.2799,10
2.7491,4.2299,10,2.7491,4.2299,10
2.7909,4.18,10,2.7909,4.18,10
2.8322,4.13,10,2.8322,4.13,10
2.873,4.08,10,2.873,4.08,10
2.9133,4.03,10,2.9133,4.03,10
2.9531,3.98,10,2.9531,3.98,10
2.9924,3.93,10,2.9924,3.93,10
3.0312,3.88,10,3.0312,3.88,10
3.0695,3.8299,10,3.0695,3.8299,10
3.1073,3.7799,10,3.1073,3.7799,10
3.1446,3.7299,10,3.1446,3.7299,10
3.1814,3.68,10,3.1814,3.68,10
3.2177,3.63,10,3.2177,3.63,10
3.2535,3.5799,10,3.2535,3.5799,10
3.2888,3.5299,10,3.2888,3.5299,10
3.3236,3.4799,10,3.3236,3.4799,10
3.3579,3.4299,10,3.3579,3.4299,10
3.3917,3.3799,10,3.3917,3.3799,10
3.425,3.3299,10,3.425,3.3299,10
3.4578,3.28,10,3.4578,3.28,10
3.4901,3.2299,10,3.4901,3.2299,10
3.5219,3.1799,10,3.5219,3.1799,10
3.5532,3.1299,10,3.5532,3.1299,10
3.584,3.08,10,3.584,3.08,10
3.6143,3.03,10,3.6143,3.03,10
3.6441,2.9799,10,3.6441,2.9799,10
3.6734,2.9299,10,3.6734,2.9299,10
3.7022,2.8799,10,3.7022,2.8799,10
3.7305,2.8299,10,3.7305,2.8299,10
3.7583,2.7799,10,3.7583,2.7799,10
3.7856,2.7299,10,3.7856,2.7299,10
3.8124,2.6799,10,3.8124,2.6799,10
3.8387,2.6299,10,3.8387,2.6299,10
3.8645,2.5799,10,3.8645,2.5799,10
3.8898,2.5299,10,3.8898,2.5299,10
3.9146,2.4799,10,3.9146,2.4799,10
3.9389,2.4299,10,3.9389,2.4299,10
3.9627,2.3799,10,3.9627,2.3799,10
3.986,2.3299,10,3.986,2.3299,10
4.0088,2.2799,10,4.0088,2.2799,10
4.0311,2.2299,10,4.0311,2.2299,10
4.0529,2.1799,10,4.0529,2.1799,10
4.0742,2.1299,10,4.0742,2.1299,10
4.095,2.0799,10,4.095,2.0799,10
4.1153,2.0299,10,4.1153,2.0299,10
4.1351,1.9799,10,4.1351,1.9799,10
4.1544,1.9299,10,4.1544,1.9299,10
4.1732,1.8799,10,4.1732,1.8799,10
4.1915,1.8298,10,4.1915,1.8298,10
4.2093,1.7798,10,4.2093,1.7798,10
4.2266,1.7298,10,4.2266,1.7298,10
4.2434,1.6798,10,4.2434,1.6798,10
4.2597,1.6299,10,4.2597,1.6299,10
4.2755,1.5799,10,4.2755,1.5799,10
4.2908,1.5299,10,4.2908,1.5299,10
4.3056,1.4799,10,4.3056,1.4799,10
4.3199,1.4298,10,4.3199,1.4298,10
4.3337,1.3799,10,4.3337,1.3799,10
4.347,1.3299,10,4.347,1.3299,10
4.3598,1.2798,10,4.3598,1.2798,10
4.3721,1.2298,10,4.3721,1.2298,10
4.3839,1.1798,10,4.3839,1.1798,10
4.3952,1.1298,10,4.3952,1.1298,10
4.406,1.0798,10,4.406,1.0798,10
4.4163,1.0298,10,4.4163,1.0298,10
4.4261,0.9797,10,4.4261,0.9797,10
4.4354,0.9297,10,4.4354,0.9297,10
4.4442,0.8797,10,4.4442,0.8797,10
4.4525,0.8297,10,4.4525,0.8297,10
4.4603,0.7797,10,4.4603,0.7797,10
4.4676,0.7296,10,4.4676,0.7296,10
4.4744,0.6796,10,4.4744,0.6796,10
4.4807,0.6297,10,4.4807,0.6297,10
4.4865,0.5796,10,4.4865,0.5796,10
4.4918,0.5295,10,4.4918,0.5295,10
4.4966,0.4795,10,4.4966,0.4795,10
4.5009,0.4297,10,4.5009,0.4297,10
4.5047,0.3797,10,4.5047,0.3797,10
4.508,0.3294,10,4.508,0.3294,10
4.5108,0.2794,10,4.5108,0.2794,10
4.5131,0.229,10,4.5131,0.229,10
4.5149,0.179,10,4.5149,0.179,10
4.5162,0.1295,10,4.5162,0.1295,10
4.517,0.0771,10,4.517,0.0771,10
4.5173,0.0247,10,4.5173,0.0247,10
